id;latitude;longitude;weight
center2;18,927584;72,832585;0
order2_1;19,037584;72,942585;5
order2_2;19,037584;72,942585;5
order2_3;18,947584;72,852585;5
order2_4;18,947584;72,852585;5
order2_7;18,957584;72,862585;10
order2_8;18,967584;72,872585;5
order2_10;18,937584;72,842585;10
